"";"ABBREVIAT";"SPECIES_NR";"LETTERCODE";"RANG";"GRUPPE";"TaxonName";"STATUS_D";"N";"F";"T";"AR";"HEIMAT";"HÄUFIGK";"GEF2006";"FSKNR";"GLOB_RBD";"NAT_RBD";"UEREG_GEF";"RELEVANZ";"UEREG_BED";"HANDLUNG";"GEF1991";"RL_BALT";"RLD";"FFH_Anh";"BARTSCH";"TAX_Ind";"TAX_Bew";"RLPGMV";"FFH1";"FFH2";"FFH3";"FFH4";"FFH_FSP_1";"FFH_FSP_2";"BIOTOP";"BioNr";"BioCode";"BioName";"Para20";"StandCode";"BioTyp1";"BioTyp2";"BioTyp3";"HLRT_WM";"Massn_1";"Massn_2";"Massn_3";"Instrument"
"82";"Amaranthus australis";6535;"AMRNAUS";"SPE";"S";"Amaranthus australis";"S#";"4b";3;3;"";"nördl. S-AM, M-AM, Karibik, südl. N-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"83";"Amaranthus blitoides";358;"AMRNBLI";"SPE";"S";"Amaranthus blitoides";"A";"4b";3;3;"";"USA bis Mexiko";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"84";"Amaranthus bouchonii";6589;"AMRNBOU";"SPE";"S";"Amaranthus bouchonii";"";"4b";1;3;"";"in EUR entstanden?";"ss";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"85";"Amaranthus caudatus";6590;"AMRNCAU";"SPE";"S";"Amaranthus caudatus";"";"4a";4;3;"";"S-AM";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"Amaranthus crispus";360;"AMRNCRI";"SPE";"S";"Amaranthus crispus";"";"4b";3;3;"";"Argentinien";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"87";"Amaranthus cruentus";365;"AMRNCRU";"SPE";"S";"Amaranthus cruentus";"U/N";"4b";4;3;"";"unbekannt";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"88";"Amaranthus deflexus";362;"AMRNDEF";"SPE";"S";"Amaranthus deflexus";"I";"4b";3;3;"";"S-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"89";"Amaranthus emarginatus";6592;"AMRNEMA";"SPE";"S";"Amaranthus emarginatus";"N";"2";1;3;"";"unbekannt";"z";"R";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"90";"Amaranthus gracilis";6593;"AMRNARA";"SPE";"S";"Amaranthus gracilis";"I";"4b";3;3;"";"unklar, vielleicht trop. AM, j weltweit verbr.";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91";"Amaranthus graecizans";363;"AMRNGRA";"SPE";"S";"Amaranthus graecizans";"";"4b";3;3;"";"Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"92";"Amaranthus palmeri";6594;"AMRNPAL";"SPE";"S";"Amaranthus palmeri";"";"4b";3;3;"";"südl. N-AM, Mexiko";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"93";"Amaranthus powellii";368;"AMRNPOW";"SPE";"S";"Amaranthus powellii";"N";"3";3;3;"";"trop. AM";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"94";"Amaranthus quitensis";6595;"AMRNQUI";"SPE";"S";"Amaranthus quitensis";"I";"4b";3;3;"";"trop. und subtrop. S-AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"95";"Amaranthus retroflexus";370;"AMRNRET";"SPE";"S";"Amaranthus retroflexus";"N";"3";3;3;"";"N-AM";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"96";"Amaranthus spinosus";6597;"AMRNSPI";"SPE";"S";"Amaranthus spinosus";"";"4b";3;3;"";"vermutl. AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"97";"Amaranthus standleyanus";361;"AMRNSTA";"SPE";"S";"Amaranthus standleyanus";"";"4b";3;3;"";"Argentinien";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"98";"Ambrosia artemisiifolia";371;"AMBRART";"SPE";"S";"Ambrosia artemisiifolia";"";"4b";3;3;"";"N-AM";"z adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"99";"Ambrosia psilostachya";373;"AMBRPSI";"SPE";"S";"Ambrosia psilostachya";"I";"4a";3;3;"";"N-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"100";"Ambrosia trifida";374;"AMBRTRI";"SPE";"S";"Ambrosia trifida";"";"4b";3;3;"";"N-AM";"z adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"101";"Amelanchier alnifolia";10039;"AMLNALN";"SPE";"S";"Amelanchier alnifolia";"I";"4b";4;3;"";"NW-AM";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"102";"Amelanchier spicata";377;"AMLNSPI";"SPE";"S";"Amelanchier spicata";"N";"3";4;3;"";"atl. N-AM";"s";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"103";"Ammi majus";380;"AMMIMAJ";"SPE";"S";"Ammi majus";"I";"4b";3;3;"";"W-AS bis Mittelmeergebiet";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"104";"Ammi visnaga";6600;"AMMIVIS";"SPE";"S";"Ammi visnaga";"I";"4b";3;3;"";"Iran, Mittelmeergebiet, Kanaren";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"105";"Ammophila arenaria";384;"AMMPARE";"SPE";"S";"Ammophila arenaria";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"(!)";"K24";2120;2110;2160;NA;"";"";"x";"3.7.2";"KDW";"Weißdüne";"§ 20";"10.02";"W75";"KDS, KDV";"";"K3";"Ungestörte Naturentwicklung naturnaher Küstenabschnitte";"";"";"Kernzonen Schutzgebiete"
"106";"Amorpha fruticosa";27272;"AMRPFRU";"SPE";"S";"Amorpha fruticosa";"";"4a";4;3;"";"N-AM";"s adventiv und verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107";"Amsinckia micrantha";93579;"AMSNMIC";"SPE";"S";"Amsinckia micrantha";"";"4b";4;3;"";"N-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"108";"Anacamptis pyramidalis";389;"ORCHPYR";"SPE";"S";"Anacamptis pyramidalis";"I";"1";1;1;"N Vp";"";"fr s";"0";NA;"";"";"!!!";"§";NA;"[!!!]";"0";"1";2;"";"§ C";NA;"(!)";"-";NA;NA;NA;NA;"6210";"";"";"8.3.1";"TKH";"Basiphiler Halbtrockenrasen";"§ 20";"34.02.01.02";"T22, L14";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"109";"Anagallis arvensis subsp. arvensis";394;"ANGLA-A";"SSP";"S";"Anagallis arvensis subsp. arvensis";"A";"3";3;2;"x";"";"v >, fr g";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"110";"Anagallis foemina";396;"ANGLFOE";"SPE";"S";"Anagallis foemina";"I";"3";3;3;"N Vp";"";"ss";"1";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111";"Anchusa azurea";403;"ANCHAZU";"SPE";"S";"Anchusa azurea";"";"4b";3;3;"";"Mittelmeergebiet bis Iran";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112";"Anchusa ochroleuca";406;"ANCHOCH";"SPE";"S";"Anchusa ochroleuca";"";"4b";3;3;"";"SO-EUR, Klein-AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"113";"Anchusa officinalis";407;"ANCHOFF";"SPE";"S";"Anchusa officinalis";"A";"2";3;2;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"114";"Andromeda polifolia";409;"ANDRPOL";"SPE";"S";"Andromeda polifolia";"I";"1";1;1;"x";"";"z >";"2";NA;"";"";"";"";NA;"";"3";"";3;"";"";7;"!!";"O11.2";7120;7140;7150;NA;"";"";"x";"7.1.1";"MAT";"Torfmoos-Rasen";"§ 20";"36.01.01";"W42";"MAG, MSS";"";"M1";"Ungestörte Naturentwicklung schwach bis mäßig entwässerter Moore";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Schutzgebiete"
"115";"Anemone nemorosa";435;"ANMNNEM";"SPE";"S";"Anemone nemorosa";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"116";"Anemone ranunculoides";436;"ANMNRAN";"SPE";"S";"Anemone ranunculoides";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"117";"Anemone sylvestris";437;"ANMNSYL";"SPE";"S";"Anemone sylvestris";"I";"3";2;2;"NW Vp";"";"ss";"0";NA;"";"";"";"§";1;"";"0";"";3;"";"§";4;"!";"-";NA;NA;NA;NA;"9150";"";"";"";"WBG";"Frischer bis trockener Buchenwald reicher Standorte";"(§ 20)";"43.07.05.01";"B 11, B12";"";"";"W1";"Ungestörte Entwicklung naturnaher Wälder";"";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"118";"Anethum graveolens";439;"ANTHGRA";"SPE";"S";"Anethum graveolens";"N";"4b";4;3;"";"Persien und O-Indien, vielleicht auch Kaukasusländer und Ägypten";"v verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"119";"Angelica archangelica subsp. archangelica";441;"ANGRA-A";"SSP";"S";"Angelica archangelica subsp. archangelica";"I";"1";1;1;"W Vp";"";"ss";"R";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"120";"Angelica archangelica subsp. litoralis";442;"ANGRA-L";"SSP";"S";"Angelica archangelica subsp. litoralis";"I";"1";1;1;"x";"";"z";"uu";274;"";"!!";"";"";2;"-";"";"";NA;"";"";3;"!";"13.4.2.2";6430;NA;NA;NA;"";"";"xx";"6.4.1";"VHS";"Uferstaudenflur an Fließ- und Stillgewässern";"(§ 20)";"34.04.01, 39.04.02";"W41, W43";"KNH, WNÜ";"";"B1";"Ungestörte Naturentwicklung naturnaher Uferbereiche";"";"";"WRRL, Landschaftsplanung"
"121";"Angelica palustris";443;"ANGRPAL";"SPE";"S";"Angelica palustris";"I";"1";1;1;"NW Vp";"";"ss, fr s";"1";6;"(!)";"";"!!";"§§";10;"!!!";"0";"2";2;"II, IV";"§§";3;"!";"-";NA;NA;NA;NA;"7230";"";"";"7.3.1";"MZB";"Basen-Zwischenmoor";"§ 20";"36.02.01";"W42";"";"";"M1";"Ungestörte Naturentwicklung schwach bis mäßig entwässerter Moore";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Schutzgebiete, Moorschutzprogramm"
"122";"Angelica sylvestris";445;"ANGRSYL";"SPE";"S";"Angelica sylvestris";"I";"1";1;1;"x";"";"v >";"V";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"123";"Anoda cristata";6609;"ANODCRI";"SPE";"S";"Anoda cristata";"I";"4b";3;3;"";"AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"124";"Antennaria dioica";448;"ANTNDIO";"SPE";"S";"Antennaria dioica";"I";"3";2;2;"x";"";"ss, fr z";"1";181;"";"";"";"§";1;"!!";"1";"";3;"";"§";3;"!";"20.2.1.2";2310;4030;NA;NA;"";"";"xx";"8.4.1";"TZT";"Trockene Zwergstrauchheide";"§ 20";"40.03";"T11, T12, T13";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Landschaftspflege"
"125";"Anthemis altissima";449;"ANTGALT";"SPE";"S";"Anthemis altissima";"";"4b";3;3;"";"S- und SO-EUR";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"126";"Anthemis arvensis";450;"ANTGARV";"SPE";"S";"Anthemis arvensis";"A";"3";3;2;"x";"";"z >, fr v";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"127";"Anthemis austriaca";451;"ANTGAUS";"SPE";"S";"Anthemis austriaca";"";"4b";3;3;"";"südöstl. M- und SO-EUR, Kaukasusgebiet";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"128";"Anthemis cotula";452;"ANTGCOT";"SPE";"S";"Anthemis cotula";"A";"3";2;2;"x";"";"v >";"3";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129";"Anthemis hyalina";6610;"ANTGHYA";"SPE";"S";"Anthemis hyalina";"";"4b";3;3;"";"südl. Vorder-AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130";"Anthemis ruthenica";456;"ANTGRUT";"SPE";"S";"Anthemis ruthenica";"A";"3";3;3;"";"O- und SO-EUR";"s <";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"131";"Anthemis tinctoria";459;"ANTGTIN";"SPE";"S";"Anthemis tinctoria";"A/I";"3";3;2;"W x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"132";"Anthericum liliago";461;"ANTSLIL";"SPE";"S";"Anthericum liliago";"I";"1";1;1;"NW x";"";"s >, fr z";"1";182;"";"";"";"§";1;"!!";"1";"2";NA;"";"§";NA;"(!)";"KD20,21,22";NA;NA;NA;NA;"6210";"";"";"8.3.1";"TKH";"Basiphiler Halbtrockenrasen";"§ 20";"34.02.01.02";"T22, L14";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"133";"Anthericum ramosum";462;"ANTSRAM";"SPE";"S";"Anthericum ramosum";"I";"1";1;1;"NW x";"";"s >, fr z";"1";183;"";"";"";"§";1;"!!";"1";"3";NA;"";"§";NA;"(!)";"O25.3";6210;NA;NA;NA;"";"";"xx";"8.3.1";"TKH";"Basiphiler Halbtrockenrasen";"§ 20";"34.02.01.02";"T22, L14";"RHM";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"134";"Anthoxanthum aristatum";20071;"ANTOARI";"SPE";"S";"Anthoxanthum aristatum";"N";"3";2;3;"NO x";"Mittelmeergebiet, W-EUR bis S-England";"z >";"3";NA;"";"";"";"";NA;"";"2";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135";"Anthriscus caucalis";467;"ANTACAU";"SPE";"S";"Anthriscus caucalis";"I";"2";3;2;"NO x";"";"z, fr v";"3";NA;"";"";"";"";NA;"";"3";"3";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136";"Anthriscus cerefolium";468;"ANTACER";"SPE";"S";"Anthriscus cerefolium";"I";"4a";4;3;"";"SO-EUR, W-AS";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"137";"Anthriscus sylvestris";473;"ANTASYL";"SPE";"S";"Anthriscus sylvestris";"I";"1";1;1;"x";"";"g <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"138";"Anthyllis vulneraria subsp. maritima";481;"ANTIV-M";"SSP";"S";"Anthyllis vulneraria subsp. maritima";"I";"1";1;1;"x";"";"s";"1";28;"!!!";"!";"!";"";7;"!!!";"1";"";NA;"";"";NA;"(!)";"x";2120;NA;NA;NA;"";"";"x";"3.7.2";"KDW";"Weißdüne";"§ 20";"10.02";"W75";"";"";"K3";"Ungestörte Naturentwicklung naturnaher Küstenabschnitte";"";"";"Kernzonen Schutzgebiete"
"139";"Anthyllis vulneraria subsp. polyphylla";482;"ANTIV-P";"SSP";"S";"Anthyllis vulneraria subsp. polyphylla";"A/I";"4b";3;3;"";"S- und O-EUR";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"140";"Anthyllis vulneraria subsp. pseudovulneraria";14783;"ANTIE-P";"SSP";"S";"Anthyllis vulneraria subsp. pseudovulneraria";"I";"3";2;2;"x";"";"z >";"3";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"141";"Antirrhinum majus";490;"ANTRMAJ";"SPE";"S";"Antirrhinum majus";"?";"4a";4;3;"";"westl. Mittelmeergebiet";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"142";"Antirrhinum orontium";20491;"MSPTORO";"SPE";"S";"Antirrhinum orontium";"A";"3";3;2;"N x";"";"ss, fr z";"1";NA;"";"";"";"";NA;"";"1";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"143";"Apera intermedia";93585;"APERMNT";"SPE";"S";"Apera intermedia";"";"4b";3;3;"";"Klein-AS, Kaukasus, N-Irak, N-Iran";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"144";"Apera interrupta";491;"APERINT";"SPE";"S";"Apera interrupta";"";"4b";3;3;"";"S-EUR bis SW-AS";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"145";"Apera spica-venti";492;"APERSPI";"SPE";"S";"Apera spica-venti";"I";"3";2;2;"x";"";"g >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"146";"Aphanes arvensis";493;"APHNARV";"SPE";"S";"Aphanes arvensis";"A";"3";3;2;"x";"";"v >, fr g";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"147";"Aphanes australis";27842;"APHNAUS";"SPE";"S";"Aphanes australis";"A";"3";3;2;"x";"";"s >";"2";136;"!";"";"";"";2;"!!";"2";"3";NA;"";"";NA;"(!)";"K18";NA;NA;NA;NA;"Segetal";"";"";"12.1.3";"ACE";"Extensivacker";"-";"33.03.01 /02
33.04.01 /02
33.05.01 /02";"";"";"";"o";"Angepasste Ackerbewirtschaftung";"";"";"bisher keine"
"148";"Apium graveolens";497;"APIMGRA";"SPE";"S";"Apium graveolens";"I";"1";1;1;"x";"";"s, fr z";"2";90;"";"";"!!!";"";4;"!!";"1";"1";2;"";"";5;"!!";"K14";1340;2190;NA;NA;"";"";"xx";"9.4.1";"GHG";"Salzgrünland des Binnenlandes";"§ 20";"35.03";"L15";"KTN, KVR";"";"B2";"Pflegende Nutzung stark wasserbeeinflusster Grünlandbereiche";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Naturschutzgerechte Grünlandnutzung"
"149";"Apium inundatum";498;"HLSCINU";"SPE";"S";"Apium inundatum";"I";"1";1;1;"O x";"";"ss, fr s";"1";42;"";"";"!!!";"§";5;"!!!";"0";"1";2;"";"§";5;"!!";"KD09,12";3130;2190;NA;NA;"";"";"xx";"6.6.8";"VSL";"Strandlingsflur";"(§ 20)";"23.08.04, 24.08.04";"-";"KTN";"";"B1";"Ungestörte Naturentwicklung naturnaher Uferbereiche";"Sicherung der Wasserqualität naturnaher Gewässer";"";"WRRL, Schutzgebiete"
"150";"Apium repens";501;"HLSCREP";"SPE";"S";"Apium repens";"I";"1";1;1;"N x";"";"z";"2";18;"!";"";"!!!";"§§";8;"!!!";"2";"1";1;"II, IV";"§§";5;"!!";"UO13.1b, 13.1.2.3";NA;NA;NA;NA;"Kleinröhricht und gestörte Ufer";"";"";"6.6.7";"VSD";"Gestörter Uferbereich";"-";"?";"-";"";"";"B2";"Pflegende Nutzung stark wasserbeeinflusster Grünlandbereiche";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";"Naturschutzgerechte Grünlandnutzung"
"151";"Arabidopsis suecica";511;"ARBDSUE";"SPE";"S";"Arabidopsis suecica";"I";"4b";3;3;"";"Skandinavien (Endemit)";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"152";"Arabidopsis thaliana";512;"ARBDTHA";"SPE";"S";"Arabidopsis thaliana";"A";"2";2;2;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"153";"Arabis caucasica";515;"ARBSCAU";"SPE";"S";"Arabis caucasica";"I";"4b";4;3;"";"östl. Mittelmeergebiet bis Inner-AS";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"154";"Arabis glabra";520;"TRRTGLA";"SPE";"S";"Arabis glabra";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"155";"Arabis hirsuta";523;"ARBSHIR";"SPE";"S";"Arabis hirsuta";"I";"1";1;1;"x";"";"z";"3";NA;"";"";"";"";NA;"";"2";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156";"Arabis pauciflora";530;"FORRALP";"SPE";"S";"Arabis pauciflora";"";"4b";3;3;"";"nördl. Mittelmeergebiet bis wärmeres M-EUR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"157";"Arabis sagittata";526;"ARBSSAG";"SPE";"S";"Arabis sagittata";"";"4b";3;3;"D";"";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"158";"Arctium lappa";546;"ARCTLAP";"SPE";"S";"Arctium lappa";"A/I";"3";3;2;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
